,Żmigrodzka / Broniewskiego,Plac Powstańców Śląskich,Poza stacją,Szewska / Kazimierza Wielkiego ,Wita Stwosza / Szewska,Dworzec Główny ,Plac Legionów,Plac Kościuszki (Renoma),Leśnica - pętla tramwajowa,Powstańcow Śląskich / Aleja Hallera,Poniatowskiego / Oleśnicka,Nowowiejska / Jedności Narodowej,Drobnera / Plac Bema,Drobnera / Dubois,Kazimierza Wielkiego (Helios),Zwycięska / Ołtaszyńska,Rondo Reagana,Rynek,Wyszyńskiego / Szczytnicka,Kościuszki / Pułaskiego,Legnicka / Zachodnia ,Oporów (pętla tramwajowa),Pereca / Grabiszyńska,Krzycka / Aleja Karkonoska (Park Południowy),Kamienna / Borowska (Aquapark),Robotnicza / Fabryczna,Dyrekcyjna / Borowska (Wroclavia),Kościuszki / Komuny Paryskiej / Zgodna,Plac Świętego Macieja / Trzebnicka,Legnicka (Park Magnolia),Norwida / Wyspiańskiego (PWr),Świdnicka / Piłsudskiego (Hotel Scandic),Zaporoska / Grabiszyńska,Nowowiejska / Wyszyńskiego,Plac Dominikański (Galeria Dominikańska),Sienkiewicza / Piastowska,Borowska (Uniw. Szpital Kliniczny),Traugutta / Kościuszki,Legnicka / Wejherowska,Sienkiewicza / Wyszyńskiego,Żeromskiego / Daszyńskiego,Plac Grunwaldzki (DS Ołówek),Ślężna / Kamienna (Uniw. Ekonomiczny),Aleja Kromera,Strzegomska / Estońska,Wróblewskiego (Teki),Szczęśliwa (Sky Tower),Nowowiejska / Górnickiego,Grabiszyńska / Stalowa,Plac Jana Pawła II (Akademia Muzyczna),Grabiszyńska / Aleja Hallera,Legnicka / Młodych Techników,Traugutta / Pułaskiego,Lotnicza / Na Ostatnim Groszu,Jagiełły / Dmowskiego ,Powstańców Śląskich (Arkady Wrocławskie),Aleja Hallera / Mielecka,Plac Uniwersytecki (UWr),Śrubowa / Strzegomska,"Dworzec Główny, południe"
Żmigrodzka / Broniewskiego,435,2,232,18,22,12,4,14,0,2,8,20,51,46,20,1,20,28,8,5,6,0,1,1,3,2,1,5,42,14,15,3,1,29,32,10,0,0,14,13,18,21,2,68,4,1,2,11,2,11,1,5,4,18,13,16,1,93,0,12
Plac Powstańców Śląskich,2,414,149,48,25,27,14,51,0,117,2,2,15,14,37,14,5,56,10,11,5,2,10,102,61,4,43,5,5,3,4,45,49,3,15,0,12,1,8,3,0,2,55,3,0,1,128,3,16,18,28,2,5,3,8,125,59,17,3,96
Poza stacją,286,171,7351,207,290,333,139,154,82,276,123,109,300,230,245,166,484,420,179,266,160,64,117,280,259,77,229,232,169,244,214,141,186,196,425,104,182,195,244,178,98,231,173,269,137,368,269,183,173,198,168,148,184,208,141,292,144,251,103,350
Szewska / Kazimierza Wielkiego ,22,34,201,525,48,85,39,34,1,50,24,9,50,55,34,14,32,33,59,44,20,2,43,9,36,5,25,31,23,20,41,24,73,23,59,12,20,16,15,19,9,24,4,10,9,10,80,12,37,28,6,53,51,9,21,45,9,35,8,47
Wita Stwosza / Szewska,28,16,286,65,847,88,20,28,1,35,45,37,111,91,37,9,100,71,96,77,25,5,30,13,25,2,30,76,50,19,56,47,27,44,97,26,13,16,18,58,43,51,18,17,6,27,74,41,20,24,15,28,66,19,20,42,4,94,8,46
Dworzec Główny ,19,40,269,56,102,786,88,44,0,42,34,43,82,63,50,5,80,95,78,157,8,1,36,12,52,8,21,164,34,10,81,53,75,36,182,14,33,62,8,44,13,38,110,14,5,28,77,31,41,51,19,21,56,7,13,41,17,36,8,40
Plac Legionów,3,14,139,45,18,95,409,38,0,23,4,1,16,28,41,1,28,62,4,14,11,13,134,9,11,9,20,13,7,24,9,37,152,5,29,5,7,2,10,8,1,3,10,7,4,3,23,6,140,52,67,21,9,6,10,18,12,17,16,44
Plac Kościuszki (Renoma),7,45,167,52,32,43,26,429,0,67,6,11,28,27,55,6,45,50,42,34,5,1,27,17,19,6,27,34,8,14,22,29,26,8,56,26,17,6,12,17,2,9,10,2,1,3,60,2,41,24,10,13,8,4,11,38,23,53,7,55
Leśnica - pętla tramwajowa,0,0,110,0,0,0,0,2,166,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0
Powstańcow Śląskich / Aleja Hallera,3,110,260,62,28,37,35,86,0,585,1,1,7,14,14,39,3,108,11,10,3,11,18,167,81,4,44,11,4,5,5,36,63,3,36,3,45,4,5,5,0,3,59,8,14,4,178,2,50,9,56,4,1,1,18,131,272,15,7,79
Poniatowskiego / Oleśnicka,22,2,106,22,39,49,4,2,0,1,365,33,93,37,56,0,62,46,8,12,4,0,0,6,15,4,10,6,32,5,9,6,13,35,54,16,1,7,0,23,51,17,8,40,1,11,7,35,6,24,6,6,2,0,8,3,1,46,8,1
Nowowiejska / Jedności Narodowej,22,4,124,7,18,34,1,6,0,1,45,330,43,21,7,0,104,21,20,6,3,0,2,0,5,0,3,4,30,1,11,3,4,87,22,39,1,2,0,27,39,17,1,62,1,6,7,61,1,8,1,4,7,2,3,4,1,19,3,6
Drobnera / Plac Bema,60,10,249,32,102,69,23,14,4,6,60,85,886,155,75,2,135,85,93,28,14,0,16,7,21,6,15,22,67,20,51,17,24,60,121,51,2,12,13,98,53,65,19,60,1,35,32,56,2,38,3,36,34,4,47,15,0,115,11,24
Drobnera / Dubois,61,10,220,76,94,47,29,20,1,6,62,36,93,670,65,2,59,145,44,12,27,0,9,8,22,3,5,33,54,24,24,23,33,40,63,24,2,9,14,57,25,30,8,24,2,5,19,28,13,28,3,31,19,6,66,37,3,142,13,25
Kazimierza Wielkiego (Helios),14,23,251,50,48,73,12,22,0,42,51,19,71,67,489,4,36,58,34,45,62,2,33,11,15,14,11,30,56,83,16,33,68,22,92,6,5,9,55,23,13,12,10,17,13,17,58,12,38,40,23,61,49,16,28,25,9,69,23,34
Zwycięska / Ołtaszyńska,0,8,170,12,11,3,2,14,0,25,1,0,0,1,2,485,2,15,4,1,1,0,2,112,15,10,22,2,2,0,3,5,0,0,2,0,42,2,0,0,0,1,17,0,1,1,14,0,3,2,2,0,0,4,0,8,8,5,1,12
Rondo Reagana,34,11,431,45,135,85,24,20,0,14,61,93,158,111,41,4,1069,102,114,113,4,1,6,8,17,4,19,68,34,9,71,19,21,408,194,131,5,52,18,182,114,407,13,104,2,321,27,251,9,35,3,11,65,3,10,18,3,107,8,40
Rynek,23,41,419,42,89,170,47,34,3,61,52,25,100,112,75,10,78,1370,65,63,48,8,67,29,30,22,27,40,53,74,32,50,130,35,104,17,22,20,55,76,21,32,28,31,24,9,127,47,63,62,15,83,61,25,41,64,16,91,26,77
Wyszyńskiego / Szczytnicka,14,9,182,57,91,56,12,10,1,5,23,21,95,40,40,2,131,58,777,28,8,0,3,0,6,0,4,18,17,3,56,26,13,66,174,9,2,13,4,78,16,31,16,38,2,36,49,38,4,33,4,12,31,0,9,11,2,58,3,14
Kościuszki / Pułaskiego,2,8,240,30,54,110,21,77,0,23,10,9,47,19,23,2,87,57,25,1106,5,2,9,3,48,0,90,95,4,4,79,27,20,19,154,15,14,45,2,24,3,34,79,12,2,19,27,18,18,18,3,4,152,2,6,44,0,12,10,181
Legnicka / Zachodnia ,6,1,135,15,13,10,9,1,3,4,5,2,13,17,57,0,8,55,16,5,456,2,6,1,7,15,2,2,7,195,5,13,17,2,15,1,0,2,146,0,0,1,2,2,25,5,9,3,7,74,2,70,8,70,18,13,6,13,36,11
Oporów (pętla tramwajowa),2,9,60,7,1,0,2,2,0,21,0,0,2,0,5,0,0,4,0,0,1,144,35,11,1,1,1,1,0,0,1,2,17,1,3,0,3,1,5,0,0,0,1,0,7,1,2,0,21,0,76,0,0,0,0,4,35,1,0,1
Pereca / Grabiszyńska,0,13,124,26,22,46,85,20,0,19,3,1,6,19,27,1,4,64,2,6,5,30,430,11,20,12,10,4,2,23,7,57,80,3,23,0,3,0,12,4,2,2,8,1,2,3,32,1,82,24,103,9,2,3,4,27,59,16,7,41
Krzycka / Aleja Karkonoska (Park Południowy),1,90,271,13,14,14,9,37,0,135,2,3,8,5,3,183,1,35,7,3,6,13,9,581,35,0,28,1,2,6,10,22,11,0,8,1,26,0,6,2,0,0,29,3,3,6,140,3,24,3,18,2,5,10,3,80,59,8,2,12
Kamienna / Borowska (Aquapark),7,73,217,29,38,62,19,27,0,67,10,3,11,16,17,23,21,33,5,39,1,2,16,44,738,0,131,31,3,0,16,18,32,8,41,2,138,7,2,6,2,3,108,3,4,6,84,4,24,7,11,7,16,2,4,57,20,10,2,67
Robotnicza / Fabryczna,0,8,67,8,6,8,2,5,0,3,0,0,7,3,13,10,2,16,2,1,14,0,11,0,1,183,1,1,0,57,1,7,15,1,5,0,0,1,9,2,0,0,0,2,58,0,9,3,6,12,13,8,0,0,4,7,0,8,33,3
Dyrekcyjna / Borowska (Wroclavia),6,54,194,38,36,43,19,25,0,55,6,2,15,4,15,8,26,27,17,73,3,1,5,23,125,0,502,48,5,8,25,9,28,15,64,0,80,9,2,4,1,13,193,8,0,2,72,7,17,10,4,8,27,0,0,42,12,12,7,44
Kościuszki / Komuny Paryskiej / Zgodna,1,1,185,39,73,133,13,64,0,5,6,6,24,34,35,0,69,57,32,75,3,0,6,4,44,0,41,505,6,8,54,21,10,11,177,11,7,77,1,12,11,15,41,6,0,29,28,9,10,16,22,11,52,0,4,30,3,8,3,223
Plac Świętego Macieja / Trzebnicka,59,1,153,34,38,22,11,11,0,5,26,26,70,68,60,0,36,64,11,2,4,0,1,1,5,0,3,5,390,5,18,3,12,14,46,14,5,12,5,35,7,13,9,22,1,11,16,11,8,15,0,2,13,3,11,10,1,82,4,5
Legnicka (Park Magnolia),13,6,227,18,26,14,44,12,6,12,23,3,21,25,72,1,15,63,6,6,201,1,26,5,7,42,9,8,14,537,11,33,47,8,18,7,3,4,124,8,0,3,2,1,40,0,19,4,18,208,13,112,14,138,19,17,5,11,108,15
Norwida / Wyspiańskiego (PWr),13,10,200,28,67,66,8,11,0,9,10,7,52,19,16,3,106,37,29,85,6,0,5,9,19,1,11,53,19,4,536,10,9,55,98,34,5,39,3,53,10,97,5,10,5,317,7,40,5,14,1,9,42,2,3,12,5,59,3,21
Świdnicka / Piłsudskiego (Hotel Scandic),4,56,141,30,28,86,55,31,0,73,6,6,9,18,19,8,14,37,17,24,8,4,31,31,39,1,17,24,7,21,12,553,46,8,30,1,10,4,9,6,0,6,20,4,3,5,92,9,63,33,23,25,6,15,15,37,18,26,16,56
Zaporoska / Grabiszyńska,4,34,168,49,31,68,121,32,2,47,4,3,12,21,45,0,21,103,11,15,2,29,105,17,43,2,19,12,5,21,20,71,478,7,30,1,4,4,4,8,1,4,20,0,4,5,46,3,161,43,92,20,8,1,3,59,22,18,13,48
Nowowiejska / Wyszyńskiego,36,1,210,15,55,31,4,6,0,1,33,94,70,35,20,1,295,42,30,11,1,1,1,1,6,1,15,15,20,2,39,14,4,489,74,85,0,14,4,77,52,71,1,114,2,40,3,156,2,12,1,3,32,0,2,8,1,40,2,4
Plac Dominikański (Galeria Dominikańska),16,34,405,54,96,156,29,25,2,39,60,39,138,66,66,17,221,119,171,197,23,0,29,12,30,1,32,202,40,25,81,29,57,53,1447,23,17,98,17,110,27,91,44,38,5,64,46,79,28,28,14,46,212,8,16,53,8,70,10,102
Sienkiewicza / Piastowska,14,1,107,5,20,15,0,3,0,2,17,32,49,26,11,0,110,11,13,10,0,0,1,1,6,1,3,8,12,0,24,4,4,136,23,359,2,3,1,49,51,42,4,19,0,38,3,69,1,3,0,4,7,0,5,1,0,10,0,3
Borowska (Uniw. Szpital Kliniczny),0,13,156,11,8,51,7,18,0,28,1,0,5,4,12,29,12,20,2,12,1,0,5,32,75,0,137,6,3,1,3,9,5,0,25,0,501,6,2,0,0,2,58,1,1,0,38,5,2,12,6,2,2,0,0,27,36,3,1,63
Traugutta / Kościuszki,4,0,186,13,21,63,6,9,0,3,6,2,9,7,16,0,63,24,18,35,1,1,4,1,8,0,11,68,8,1,26,3,10,9,91,3,3,520,0,14,1,5,9,13,0,43,12,27,4,5,1,0,24,0,0,2,0,3,1,70
Legnicka / Wejherowska,19,7,229,14,11,9,5,13,9,5,1,4,1,14,38,1,5,54,2,7,104,3,8,5,4,3,1,9,2,114,5,8,9,6,9,1,1,0,452,4,3,2,0,3,24,3,13,5,2,90,14,33,3,76,9,5,1,9,34,7
Sienkiewicza / Wyszyńskiego,16,1,149,22,36,39,6,17,0,5,30,26,117,68,25,0,168,39,74,17,2,0,0,1,6,2,9,13,28,3,50,4,5,81,65,45,2,16,3,318,35,77,8,97,1,20,12,72,7,16,1,13,33,0,8,8,1,42,11,16
Żeromskiego / Daszyńskiego,18,1,100,11,26,25,2,9,0,0,14,32,56,28,14,0,104,22,23,6,4,0,2,1,3,1,0,10,6,0,17,1,6,59,20,33,3,3,0,15,244,26,4,48,0,5,5,37,4,8,0,3,2,1,1,1,0,17,9,1
Plac Grunwaldzki (DS Ołówek),14,0,249,23,33,26,9,3,1,4,16,23,56,27,28,0,380,33,39,41,4,0,3,2,3,0,4,12,12,2,87,5,9,53,69,39,4,24,2,60,13,576,2,52,0,145,9,45,4,8,1,5,24,1,1,7,2,30,1,8
Ślężna / Kamienna (Uniw. Ekonomiczny),2,78,179,14,14,89,16,19,0,79,3,1,8,3,23,22,13,25,11,54,6,3,8,41,100,1,220,27,7,4,2,13,20,0,35,1,51,1,2,2,1,7,559,0,1,6,80,5,7,9,4,5,17,0,1,42,26,9,0,121
Aleja Kromera,81,8,266,3,10,16,5,2,0,10,28,39,63,19,10,2,88,18,35,7,8,0,1,3,7,4,2,6,20,1,13,4,3,55,56,35,1,8,6,71,38,58,2,479,0,10,2,74,1,2,6,0,11,3,8,1,1,29,0,10
Strzegomska / Estońska,6,1,131,3,6,2,6,3,0,4,1,0,1,3,12,0,1,17,1,1,22,10,2,1,1,30,2,0,1,52,2,2,4,0,2,0,3,1,26,0,2,0,2,0,407,0,1,0,19,19,34,5,0,13,1,3,5,3,16,2
Wróblewskiego (Teki),4,3,267,6,30,43,1,0,0,2,5,12,41,10,12,0,372,12,12,10,16,0,2,3,6,0,5,35,7,2,294,3,0,41,65,21,1,37,0,15,1,103,3,16,0,890,6,45,0,8,2,7,12,1,1,5,1,18,1,10
Szczęśliwa (Sky Tower),9,145,285,73,56,77,31,82,2,214,18,0,28,18,39,14,17,125,26,21,2,4,43,141,101,8,82,23,17,15,17,69,62,4,45,5,30,13,11,13,1,1,68,3,1,3,763,0,32,36,36,10,8,2,7,187,51,36,37,140
Nowowiejska / Górnickiego,15,1,153,18,34,20,3,3,0,0,20,50,77,35,23,2,267,25,45,12,1,0,3,1,8,0,4,9,9,3,41,9,4,111,74,61,0,22,3,57,44,50,2,65,1,38,0,431,2,11,1,7,10,0,9,5,0,32,1,6
Grabiszyńska / Stalowa,1,10,141,28,32,39,96,28,0,55,5,1,4,11,38,1,5,63,6,6,19,25,67,23,21,14,10,8,4,14,8,66,62,5,34,0,6,0,3,2,0,5,15,0,6,2,52,1,622,30,224,12,1,2,6,43,130,17,6,27
Plac Jana Pawła II (Akademia Muzyczna),9,23,189,47,39,67,39,10,5,11,14,4,28,33,44,0,16,92,18,23,67,3,20,4,8,33,10,17,21,156,6,44,45,15,38,2,8,7,95,34,5,13,5,5,18,2,48,6,40,701,13,56,20,37,38,32,7,24,48,23
Grabiszyńska / Aleja Hallera,4,29,179,12,11,22,77,14,0,65,1,4,1,10,23,4,2,27,8,9,1,74,107,30,9,9,9,6,2,19,1,16,81,0,15,0,4,0,13,2,0,4,3,1,49,2,43,2,175,20,444,2,5,21,9,22,135,5,17,13
Legnicka / Młodych Techników,2,7,118,33,29,17,27,3,1,2,3,4,17,37,66,1,7,49,10,3,86,0,7,4,12,11,2,7,5,120,7,18,15,8,24,0,3,0,114,5,2,8,4,2,22,1,8,3,9,51,3,375,8,33,14,16,1,21,32,13
Traugutta / Pułaskiego,7,9,165,58,55,60,8,19,0,9,12,5,33,16,30,0,72,52,24,221,2,0,5,3,28,0,17,107,8,6,38,10,7,17,173,7,4,57,2,23,0,34,18,5,0,14,7,7,1,8,0,7,570,2,2,10,2,21,4,31
Lotnicza / Na Ostatnim Groszu,13,0,153,6,12,12,4,1,1,7,1,6,5,1,23,1,2,13,0,9,67,6,1,9,1,7,1,1,3,172,6,8,4,2,13,0,3,0,71,2,0,3,0,1,40,0,3,2,6,58,44,20,1,329,11,4,11,1,56,0
Jagiełły / Dmowskiego ,8,4,136,19,10,16,6,2,0,2,12,4,49,64,25,0,12,47,12,4,8,0,6,3,2,7,3,3,20,27,5,12,9,7,16,2,0,1,22,14,9,4,1,8,1,6,8,18,10,34,5,20,4,7,204,16,0,46,9,5
Powstańców Śląskich (Arkady Wrocławskie),0,95,250,45,49,51,37,56,0,121,6,6,20,40,44,9,28,64,17,45,12,4,42,71,52,7,33,27,7,27,22,50,55,12,55,0,14,3,13,6,2,4,42,5,2,11,156,6,36,24,15,16,11,3,15,883,48,23,23,81
Aleja Hallera / Mielecka,2,39,161,8,5,19,8,32,0,229,0,0,4,6,13,12,6,19,0,7,0,38,58,67,22,2,13,4,3,6,3,11,11,0,9,9,23,1,2,1,0,0,25,1,6,1,67,2,111,6,102,4,0,3,0,62,416,6,3,27
Plac Uniwersytecki (UWr),69,21,193,70,79,53,30,31,0,23,73,40,156,149,41,0,115,91,54,22,24,0,11,6,16,6,10,11,96,13,45,44,22,46,112,11,2,7,12,58,20,38,18,10,0,17,28,26,22,28,2,17,28,5,37,26,2,772,4,20
Śrubowa / Strzegomska,3,4,91,4,13,24,22,6,0,3,6,1,8,8,29,0,7,35,9,9,35,0,11,1,5,21,6,5,2,145,11,16,11,6,17,0,1,1,29,24,2,0,1,2,36,3,15,1,2,44,17,25,4,42,13,34,1,4,445,20
"Dworzec Główny, południe",5,124,291,57,56,42,31,45,0,76,20,16,20,27,33,17,37,61,26,179,7,1,28,14,94,1,55,219,5,10,46,47,59,10,96,4,64,78,4,8,5,10,115,7,13,18,149,14,27,41,14,21,71,5,8,102,14,18,22,731
